Component,Quantity,Unit Price (USD),Total Price (USD)
"Power cable with plug 230 V, 2 m, 3×2.5 mm²",1,19.21,19.21
"3×25 cm DIN rail for panel mounting 35 mm, 7.5 mm, 250 mm",1,7.86,7.86
"Indicator light XBS 24 V AC/DC green LED AD22-GREEN24",1,0.98,0.98
"Control push-button STOP red EA42 1NC",1,1.28,1.28
"Control push-button START green EA31 1NO (pair)",2,2.55,2.55
"Circuit breaker 1P B6 Noark Ex9BN – 100004",1,2.64,2.64
"DC fuse 6 A",1,13.02,13.02
"Electromagnetic relay 24 V AC/DC PEM-02/024 ZAMEL",1,17.62,17.62
"Single-core cable LGY 1 1 mm² violet 1 m",1,0.41,0.41
"Single-core cable LGY 1 1 mm² red 1 m",1,0.81,0.81
"Single-core cable LGY 1 1 mm² black 1 m",1,0.81,0.81
"PVC belt conveyor 150 mm × 1000 mm",1,37.93,37.93
"M5 screws (10 pcs)",1,3.72,3.72
"2020 aluminium black profile 4 m",1,55.28,55.28
"M5 screws 18 mm (3 pcs)",1,5.36,5.36
"PT1.5 grey terminal strip (10 pcs)",1,5.69,5.69
"20-M5 black brackets (2 pcs)",1,4.07,4.07
"M5 2020 nuts (50 pcs)",1,3.25,3.25
"Bearing 6804 (4 pcs)",1,2.71,2.71
"Nema 23 stepper motor",1,30.32,30.32
"TB6600 9-42 V driver power supply",1,9.76,9.76
"Siemens Logo 12/24RC 6ED1 052-1MD00-0BA6",1,52.92,52.92
+ filament for the 3D printer which I have to settle with my school
,,TOTAL,285.18


